N,t,one_qubit,factor_found,n_qubits,depth,n_attempts,simulation_time,total_time,noise
115,10,False,23,0.0,0.0,8,0.0,114.23691177368164,False
115,10,False,5,26,4793,9,16.100441694259644,146.14317393302917,False
115,10,False,5,0.0,0.0,5,0.0,65.09014463424683,False
115,10,False,23,0.0,0.0,15,0.0,227.96756672859192,False
115,10,False,5,0.0,0.0,7,0.0,97.42675590515137,False
115,10,False,5,0.0,0.0,6,0.0,81.37807250022888,False
115,10,False,5,0.0,0.0,1,0.0,1.0251998901367188e-05,False
115,10,False,5,0.0,0.0,3,0.0,32.174678564071655,False
115,10,False,5,0.0,0.0,6,0.0,81.08805775642395,False
119,10,False,17,26,4793,5,16.323107957839966,81.72205185890198,False
119,10,False,7,0.0,0.0,5,0.0,65.1482675075531,False
119,10,False,17,26,4793,8,15.994508743286133,129.44299030303955,False
119,10,False,17,26,4793,11,16.172569036483765,178.1745102405548,False
119,10,False,7,0.0,0.0,1,0.0,2.765655517578125e-05,False
119,10,False,7,0.0,0.0,15,0.0,227.65640115737915,False
119,10,False,7,0.0,0.0,1,0.0,1.5020370483398438e-05,False
119,10,False,7,0.0,0.0,1,0.0,1.0967254638671875e-05,False
119,10,False,17,0.0,0.0,8,0.0,114.14009809494019,False
119,10,False,7,0.0,0.0,5,0.0,65.0111734867096,False
123,10,False,3,0.0,0.0,3,0.0,32.562647104263306,False
123,10,False,3,0.0,0.0,4,0.0,49.096951961517334,False
123,10,False,3,0.0,0.0,3,0.0,32.37578463554382,False
123,10,False,41,26,4793,3,16.105721473693848,48.43467974662781,False
123,10,False,3,0.0,0.0,3,0.0,32.37363386154175,False
123,10,False,3,0.0,0.0,1,0.0,1.049041748046875e-05,False
123,10,False,3,0.0,0.0,1,0.0,8.106231689453125e-06,False
123,10,False,3,0.0,0.0,2,0.0,16.06066584587097,False
123,10,False,41,0.0,0.0,1,0.0,9.775161743164062e-06,False
123,10,False,3,0.0,0.0,1,0.0,6.9141387939453125e-06,False
129,10,False,3,0.0,0.0,1,0.0,7.867813110351562e-06,False
129,10,False,3,0.0,0.0,1,0.0,8.106231689453125e-06,False
129,10,False,3,0.0,0.0,1,0.0,7.3909759521484375e-06,False
129,10,False,3,0.0,0.0,3,0.0,145.48574948310852,False
129,10,False,3,0.0,0.0,2,0.0,72.91725015640259,False
129,10,False,3,0.0,0.0,5,0.0,291.3224847316742,False
129,10,False,3,0.0,0.0,8,0.0,510.0279486179352,False
129,10,False,3,0.0,0.0,1,0.0,1.2159347534179688e-05,False
129,10,False,3,0.0,0.0,2,0.0,73.06725931167603,False
129,10,False,3,0.0,0.0,1,0.0,1.1682510375976562e-05,False
133,10,False,7,0.0,0.0,13,0.0,874.7089760303497,False
133,10,False,7,0.0,0.0,2,0.0,72.86037421226501,False
133,10,False,19,0.0,0.0,1,0.0,1.2159347534179688e-05,False
133,10,False,19,0.0,0.0,2,0.0,73.01153826713562,False
133,10,False,19,0.0,0.0,5,0.0,291.27314138412476,False
133,10,False,7,0.0,0.0,2,0.0,72.83973550796509,False
133,10,False,7,0.0,0.0,2,0.0,72.90193271636963,False
133,10,False,7,0.0,0.0,1,0.0,1.1205673217773438e-05,False
133,10,False,19,28,5953,1,73.03088092803955,73.03089118003845,False
133,10,False,19,28,5953,2,72.92836499214172,145.92775511741638,False
141,10,False,3,0.0,0.0,4,0.0,218.78530764579773,False
141,10,False,3,0.0,0.0,1,0.0,1.2159347534179688e-05,False
141,10,False,3,0.0,0.0,1,0.0,8.106231689453125e-06,False
141,10,False,3,0.0,0.0,3,0.0,145.7863655090332,False
141,10,False,3,0.0,0.0,2,0.0,72.880366563797,False
141,10,False,3,0.0,0.0,3,0.0,145.75347805023193,False
141,10,False,3,0.0,0.0,1,0.0,1.0967254638671875e-05,False
141,10,False,3,0.0,0.0,1,0.0,8.58306884765625e-06,False
141,10,False,47,28,5953,2,72.97276020050049,145.98967695236206,False
141,10,False,3,0.0,0.0,2,0.0,72.8560094833374,False
143,10,False,11,0.0,0.0,5,0.0,291.92448925971985,False
143,10,False,11,28,5953,2,72.70488095283508,146.0158829689026,False
143,10,False,11,0.0,0.0,1,0.0,2.4080276489257812e-05,False
143,10,False,13,0.0,0.0,3,0.0,146.0816285610199,False
143,10,False,13,0.0,0.0,3,0.0,145.4841558933258,False
143,10,False,13,0.0,0.0,3,0.0,146.10798263549805,False
143,10,False,11,0.0,0.0,6,0.0,364.12892603874207,False
143,10,False,11,0.0,0.0,1,0.0,1.1205673217773438e-05,False
143,10,False,11,0.0,0.0,4,0.0,218.71213340759277,False
143,10,False,11,0.0,0.0,3,0.0,145.84408521652222,False
145,10,False,5,0.0,0.0,3,0.0,145.4113585948944,False
